Team,Attendance (Thousands),Arrests
Aston Villa,404,308
 Bradford City,286,197
 Leeds United,443,184
  Bournemouth,169,149
 West Brom,222,132
 Hudderfield,150,126
 Middlesbro,321,110
 Birmingham,189,101
 Ipswich Town,258,99
 Leicester City,223,81
 Blackburn,211,79
 Crystal Palace ,215,78
Shrewsbury,108,68
 Swindon Town,210,67
 Sheffield Utd.,224,60
 Stoke City,211,57
 Barnsley ,168,55
Millwall,185,44
Hull City ,158,38
 Manchester City,429,35
 Plymouth,226,29
 Reading,150,20
 Oldham ,148,19
